Text ID,Comment,Max char limit,Asian char limit,English,Japanese,Korean,TChinese,French,German,Spanish Spain,Spanish LatAm,Portuguese,Italian,Turkish,Arabic,Thai,Swedish,Polish,French limit,German limit,sp-ES limit,sp-M9 limit,pt-BR limit,it limit,tur limit,ara limit,thai limit,swe limit,pol limit,jp limit,kor limit,cht limit,
main game UI last remain,%1% replaced with number between 2 to 5,12,12,%1% remaining!,ラスト%1%回！,%1%개 남음!,還差%1%份！,Encore %1% !,%1% übrig!,¡Quedan %1%!,¡%1% más!,Faltam %1%!,%1% rimasti!,%1% kaldı!,يتبقى %1%!,เหลือ​อีก %1%!,%1% kvar!,Jeszcze %1%!,12,12,12,12,12,12,12,12,12,12,12,12,12,12,
main game UI last final one,"last remaining, can be same expression as above",12,12,LAST ONE!,ラスト%1%回！,마지막 하나!,最後一份！,LE DERNIER !,NUR NOCH 1!,¡EL ÚLTIMO!,¡ÚLTIMO!,FALTA UM!,ULTIMO!,SONUNCU!,الأخير!,สุดท้าย!,SISTA!,OSTATNI!,12,12,12,12,12,12,12,12,12,12,12,12,12,12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main game UI endless mode,shows at the bottom of the screen to make clear that the current game mode is endless mode,,,Endless Mode,エンドレスモード,무한 모드,無盡模式,Mode infini,Endlosmodus,Modo Interminable,Modo Interminable,Modo Infinito,Modalità infinita,Sonsuz Mod,الوضع اللانهائي,โหมด​ไร้​จุดจบ,Oändligt läge,Tryb nieskończony,,,,,,,,,,,,,,,
main game UI average,shows above the average score,16,8,Average,スコア平均値,평균,平均得分,Moyenne,Durchschnitt,Promedio,Promedio,Média,Medio,Ortalama,المتوسط,เฉลี่ย,Snitt,Średnia,16,16,16,16,16,16,16,16,16,16,16,8,8,8,
main game UI best average,shows above the recorded best average score,16,8,Best Average,最高平均値,최고 평균,最高平均得分,Meill. moyenne,Bester Durchsch.,Mejor promedio,Mejor promedio,Melhor Média,Medio migliore,En İyi Ortalama,أفضل متوسط,เฉลี่ย​ดี​ที่สุด,Högstasnitt,Najlepsza średnia,16,16,16,16,16,16,16,16,16,16,16,8,8,8,
main game UI highscore,shows above best recorded score,16,8,Best Score,ハイスコア,최고 점수,最高得分,Meilleur score,Bester Punktest.,Mejor puntuación,Mejor puntuación,Melhor Pontuação,Punt. migliore,En İyi Puan,أفضل نتيجة,คะแนน​ดี​ที่สุด,Poängrekord,Najlepszy wynik,16,16,16,16,16,16,16,16,16,16,16,8,8,8,
main game UI highscore notification,shows when getting new highest score,32,16,NEW HIGH SCORE!,ハイスコア更新！,점수 신기록!,刷新最高得分！,NOUVEAU RECORD !,NEUER REKORDPUNKTESTAND!,¡NUEVA PUNTUACIÓN ALTA!,¡NUEVA PUNTUACIÓN MÁXIMA!,NOVA PONTUAÇÃO MÁXIMA!,NUOVO PUNTEGGIO RECORD!,YENİ PUAN REKORU!,نتيجة قياسية جديدة!,คะแนน​สูงสุด​ใหม่!,NYTT POÄNGREKORD!,NOWY REKORD!,32,32,32,32,32,32,32,32,32,32,32,16,16,16,
main game UI best average notification,shows when getting new best average score,32,16,NEW HIGHEST AVERAGE!,最高平均値を更新！,평균 신기록!,刷新最高平均得分！,NOUVELLE MOYENNE MAX !,NEUER REKORDDURCHSCHNITT!,¡NUEVO MEJOR PROMEDIO!,¡NUEVO PROMEDIO MÁXIMO!,NOVA MÉDIA MÁXIMA!,NUOVO PUNTEGGIO MEDIO RECORD!,YENİ EN YÜKSEK ORTALAMA!,متوسط قياسي جديد!,เฉลี่ย​สูงสุด​ใหม่!,NYTT HÖGSTASNITT!,NOWA NAJWYŻSZA ŚREDNIA!,32,32,32,32,32,32,32,32,32,32,32,16,16,16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main game UI star juice ready,same as above but for final area where the fruits are stars so the juice is called STAR JUICE - please insert line break at appropriate point,20,20,STAR JUICE\nREADY,スタージュース\n準備ＯＫ,별 주스\n준비 끝,星星果汁\n完成,JUS D'ÉTOILE\nPRÊT,STERNENSAFT\nBEREIT,ZUMO ESTELAR\nLISTO,JUGO ESTELAR\nLISTO,SUCO ESTELAR\nPRONTO,SUCCO STELLARE\nPRONTO,YILDIZ SUYU\nHAZIR,عصير النجوم\nجاهز,น้ำ​ผลไม้​ดาว\nพร้อม​แล้ว,STJÄRNSAFT\nREDO,GWIEZDNY SOK\nGOTOWY,20,20,20,20,20,20,20,20,20,20,20,20,20,20,
main game UI gourmet level,Difficulty level for the juice recipe - the higher it is the more complex the recipe is. This text is shown in the HUD at bottom center of the screen in main game so shorter the string the better,16,8,Gourmet Level,グルメレベル,미식 레벨,食譜難度,Niveau Gourmet,Gourmet-Level,Nivel Gourmet,Nivel gourmet,Nível Gourmet,Livello Gourmet,Gurme Seviyesi,درجة المذاق,เลเวล​นัก​ชิม,Gourmetnivå,Poziom przepisu,16,16,16,16,16,16,16,16,16,16,16,8,8,8,
main game UI next discovery,"shows the level the player needs to reach in order to unlock the new area. Example usage: ""Next discovery: Level 15""",20,10,Discover new area at Gourmet Level %1%,グルメレベル%1%で\n新エリア発見！,미식 레벨 %1%에 새 구역 발견,達到食譜難度%1%，揭開新區域,Découvrez nouv. zone au niv. Gourmet %1%,Neues Gebiet auf Gourmet-Level %1%,Nueva área: nivel Gourmet %1%,Descubre otra zona con el nivel %1%,Veja uma nova área no Nvl. Gourmet %1%,Scopri una nuova area a liv. Gourmet %1%,%1%. Gurme Seviyesinde yeni bölge keşfet,اكتشف منطقة جديدة عند مستوى المذاق %1%,ค้น​พบ​พื้น​ที่​ใหม่​เลเวล​นัก​ชิม​ถึง %1%,Nå gourmetnivå %1% för att hitta ett nytt område,Nowy obszar na %1%. poziomie przepisu,20,20,20,20,20,20,20,20,20,20,20,10,10,10,
main game UI discovery imminent,a text that shows when the player is about to reach / unlock a new area in the game,20,10,DISCOVERY\nAHEAD!,このさき\n新エリアの予感！,곧\n발견!,即將揭開\n新區域！,DÉCOUVERTE\nEN VUE !,ENTDECKUNG\nNAHT!,¡NUEVA ÁREA\nCERCA!,PRÓXIMA\nREVELACIÓN,DESCOBERTA\nADIANTE!,SCOPERTA\nIN VISTA!,KEŞİF\nYAKLAŞTI!,على وشك\nتحقيق اكتشاف,กำลัง​จะ\nค้น​พบ​แล้ว!,NÄRA NYTT\nOMRÅDE!,NOWY OBSZAR\nPRZED TOBĄ!,20,20,20,20,20,20,20,20,20,20,20,10,10,10,
main game UI final area at,shows the level the player needs to reach in order to reach the final area of the game,20,10,Final challenge at\nGourmet Level %1%,グルメレベル%1%で\n最後のエリアへ,미식 레벨 %1%에\n최후 도전,達到食譜難度%1%\n揭開最終挑戰,Dernier défi au\nniveau Gourmet %1%,Letzte Herausf.\nauf Gourmet-Level %1%,Último desafío:\nnivel Gourmet %1%,Desafío final\ncon el nivel %1%,Desafio final no\nNível Gourmet %1%,Sfida finale al\nlivello Gourmet %1%,Son zorluk\n%1%. Gurme Seviyesinde,التحدي الأخير\nعند مستوى المذاق %1%,ความ​ท้าทาย​สุดท้าย​ที่\nเลเวล​นัก​ชิม %1%,Sista utmaningen\npå gourmetnivå %1%,Finałowe wyzwanie na\n%1%. poziomie przepisu,20,20,20,20,20,20,20,20,20,20,20,10,10,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
game complete header,congratulatory header text to display after the ending has been reached,24,12,GAME COMPLETE!,ゲームクリア！,게임 완료!,恭喜破關！,JEU TERMINÉ !,SPIEL GESCHAFFT!,¡JUEGO COMPLETADO!,¡JUEGO COMPLETADO!,JOGO CONCLUÍDO!,GIOCO COMPLETATO!,OYUN TAMAMLANDI!,أكملت اللعبة!,จบ​เกม!,KLARADE SPELET!,UKOŃCZONO GRĘ!,24,24,24,24,24,24,24,24,24,24,24,12,12,12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ending skip UI,the word 'skip' to show above the UI that allows player to skip a cutscene,12,6,Skip,スキップ,건너뛰기,略過,Passer,Überspringen,Omitir,Omitir,Pular,Salta,Atla,تخطٍ,ข้าม,Hoppa över,Pomiń,12,12,12,12,12,12,12,12,12,12,12,6,6,6,
ending post end unlock header,header text for a window listing unlocked elements from completing the game,24,12,Game completion reward!,クリア記念プレゼント！,게임 완료 보상!,破關獎勵！,Prix pour jeu terminé !,Prämie zum Spielabschluss!,¡Recompensa por terminar!,¡Recompensa final!,Recompensa de conclusão!,Premio di completamento!,Oyun tamamlama ödülü!,مكافأة إكمال اللعبة!,รางวัล​จบ​เกม!,Avklarningsbelöning!,Nagroda za ukończenie gry!,24,24,24,24,24,24,24,24,24,24,24,12,12,12,
ending post end unlock medal menu,name of the menu for checking the medals,16,8,Medal menu,メダルメニュー,메달 메뉴,獎牌列表,Menu médailles,Medaillen-Menü,Menú Medallas,Menú de medallas,Menu de medalhas,Menu medaglie,Madalya menüsü,قائمة الميداليات,เมนู​เหรียญ,Medaljmeny,Menu medali,16,16,16,16,16,16,16,16,16,16,16,8,8,8,
ending post end unlock sleeping gear,name for a group of items such as pajamas and pillow,16,8,Bedtime set,快眠グッズ,취침 시간 세트,好眠組合,Ensemble de nuit,Schlafenszeit-Set,Kit para dormir,Set para dormir,Kit de sono,Set da notte,Uyku vakti seti,طقم عتاد النوم,เซ็ตเข้านอน,Sömnprylar,Wyposażenie śpiocha,16,16,16,16,16,16,16,16,16,16,16,8,8,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
medal unlock,"displays when unlocking a medal (achievement, trophy thing)",16,8,GOT MEDAL!,メダル\nゲット！,메달 획득!,榮獲獎牌！,MÉDAILLE REÇUE !,MEDAILLE ERHALTEN!,¡1 MEDALLA!,¡MEDALLA!,MEDALHA OBTIDA!,NUOVA MEDAGLIA!,MADALYA ALINDI!,فتحت الميدالية!,ได้​เหรียญ!,DU FICK MEDALJ!,ZDOBYTO MEDAL!,16,16,16,16,16,16,16,16,16,16,16,8,8,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lobby UI juicer rank,%1% will be replaced with the player's current rank number,10,5,RANK %1%,ランク %1%,랭크 %1%,等級%1%,RANG %1%,RANG %1%,RANGO %1%,RANGO %1%,RANQUE %1%,GRADO %1%,%1%. SIRA,الرتبة %1%,อันดับ %1%,PLATS %1%,RANGA %1%,10,10,10,10,10,10,10,10,10,10,10,5,5,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UI general return,a button to press / tap on to return to previous screen,12,6,Return,戻る,돌아가기,返回,Retour,Zurück,Volver,Regresar,Retornar,Indietro,Geri dön,العودة,ย้อน​กลับ,Återvänd,Powrót,12,12,12,12,12,12,12,12,12,12,12,6,6,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
result juicer rank,,10,5,RANK,ランク,순위,等級,RANG,RANG,RANGO,RANGO,RANQUE,GRADO,SIRA,الرتبة,อันดับ,PLATS,RANGA,10,10,10,10,10,10,10,10,10,10,10,5,5,5,
result reward,text drawn below the graphic of the next reward to be unlocked,10,5,REWARD,ごほうび,보상,獎勵,RÉCOMPENSE,PRÄMIE,RECOMPENSA,RECOMPENSA,RECOMPENSA,RICOMPENSA,ÖDÜL,المكافأة,รางวัล,BELÖNING,NAGRODA,10,10,10,10,10,10,10,10,10,10,10,5,5,5,
result game over,header for result screen to say game over,16,10,GAME OVER,ゲームオーバー,게임 오버,GAME OVER,FIN DE PARTIE,GAME OVER,FIN DEL JUEGO,FIN DEL JUEGO,FIM DE JOGO,GAME OVER,OYUN BİTTİ,انتهت اللعبة,เกม​โอเวอร์,SPELET ÄR SLUT,KONIEC GRY,16,16,16,16,16,16,16,16,16,16,16,10,10,10,
result rank up reward,congratulatory text displayed when receiving reward from ranking up,24,12,RANK UP\nREWARD!,ランクアップの\nごほうび！,순위 상승\n보상!,升級\n獎勵！,RÉCOMPENSE\nRANG SUP !,PRÄMIE ZUM\nRANGAUFSTIEG,¡RECOMPENSA\n+1 RANGO!,¡RECOMPENSA\nDE RANGO!,RECOMPENSA DE\nRANQUE!,RICOMPENSA\nGRADO+!,SIRALAMA\nÖDÜLÜ!,مكافأة\nترقية الرتبة!,รางวัล\nเลื่อน​อันดับ​!,PLACERINGS-\nBELÖNING!,NAGRODA\nRANKINGOWA!,24,24,24,24,24,24,24,24,24,24,24,12,12,12,
result rank max,text to replace the rank number when at max rank,5,5,MAX,MAX,최고,MAX,MAX,MAX.,MÁX.,MÁX.,MÁX.,MAX,MAKS.,الأقصى,สูงสุด,MAX,MAKS.,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
puzzle header,header text for puzzle select screen,12,12,PUZZLE MODE,パズルモード,퍼즐 모드,挑戰模式,MODE PUZZLE,PUZZLEMODUS,MODO PUZLE,MODO RECREO,MODO PUZZLE,PUZZLE,BULMACA MODU,وضع اللغز,โหมด​พัซ​เซิล,PUSSELLÄGE,ŁAMIGŁÓWKI,12,12,12,12,12,12,12,12,12,12,12,12,12,12,
puzzle start make juice,instructional text that shows at the start of a puzzle,32,16,Get the fruits and\nmake the juice!,レシピのジュースを\nつくろう！,과일을 모아\n주스를 만드세요!,收集水果\n榨成果汁！,Prenez les fruits et\nfaites du jus !,Nimm die Früchte\nund mach Saft!,¡Consigue frutas y\nhaz el zumo!,¡Consigue frutas\ny haz jugo!,Pegue as frutas e\nfaça suco!,Prendi la frutta\nper il succo!,Meyveleri al ve\nsuyunu çıkar!,اجمع الفواكه\nواصنع العصير!,หา​ผลไม้\nมา​ทำ​น้ำ​ผลไม้​สิ!,Samla frukter och\ngör saft!,Zdobądź owoce\ni zrób sok!,32,32,32,32,32,32,32,32,32,32,32,16,16,16,
puzzle complete,congratulatory text drawn after completing a puzzle,12,6,Cleared!,クリアー！,통과!,過關！,Réussi !,Gelöst!,¡Completado!,¡Listo!,Concluído!,Completato!,Tamamlandı!,اكتمل!,เคลียร์​แล้ว!,Löst!,Ukończono!,12,12,12,12,12,12,12,12,12,12,12,6,6,6,
puzzle all complete,congratulatory text drawn after completing all puzzles,12,6,All Cleared!,全クリアー！,모두 통과!,全數過關！,Tout réussi !,Alle gelöst!,¡Todos hechos!,¡Todo listo!,Foi tudo!,Completati!,Hepsi Tamam!,اكتملت كلها!,เคลียร์​หมด​แล้ว!,Alla lösta!,Ukończono wszystkie!,12,12,12,12,12,12,12,12,12,12,12,6,6,6,
puzzle next,pressing this button will get you to the next puzzle,12,6,Next,次へ,다음,下一關,Suivant,Nächstes,Siguiente,Siguiente,Próximo,Avanti,Sıradaki,التالي,ถัด​ไป,Nästa,Dalej,12,12,12,12,12,12,12,12,12,12,12,6,6,6,
puzzle list,pressing this button will bring up the puzzle select list,,,Puzzle List,パズルリスト,퍼즐 목록,挑戰列表,Liste des puzzles,Puzzle-Liste,Lista de puzles,Lista,Lista de Puzzles,Elenco puzzle,Bulmaca Listesi,قائمة الألغاز,รายการ​ปริศนา,Pussellista,Lista łamigłówek,,,,,,,,,,,,,,,
puzzle retry,pressing this button will let you retry the puzzle,12,6,Retry,リトライ,다시 시도,重試,Réessayer,Erneut,Reintentar,Reintentar,Repetir,Riprova,Tekrar dene,أعد المحاولة,ลอง​ใหม่,Försök igen,Spróbuj ponownie,12,12,12,12,12,12,12,12,12,12,12,6,6,6,
puzzle return,pressing this button will get you back to the lobby,12,6,Return to Lobby,ホームへ戻る,로비로 돌아가기,返回大廳,Retour salon,Zurück zur Lobby,Volver al lobby,Ir al lobby,Lobby,Alla lobby,Lobiye Dön,إلى الردهة,กลับ​ไป​ที่​ล็อบบี้,Återvänd till lobbyn,Powrót do menu,12,12,12,12,12,12,12,12,12,12,12,6,6,6,
puzzle play,pressing this button will start the puzzle,12,6,PLAY,プレイ,플레이,開始,JOUER,SPIELEN,JUGAR,JUGAR,JOGAR,GIOCA,OYNA,البدء,เล่น,SPELA,GRAJ,12,12,12,12,12,12,12,12,12,12,12,6,6,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trophy header,header text for trophy screen,12,6,Medals,メダル,메달,獎牌,Médailles,Medaillen,Medallas,Medallas,Medalhas,Medaglie,Madalyalar,الميداليات,เหรียญ,Medaljer,Medale,12,12,12,12,12,12,12,12,12,12,12,6,6,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trophy clear by 10,requirement for unlocking this trophy,64,32,Reach the ending with up to 10 jump orbs,ジャンプ玉10個以内でエンディングに到達する,최대 10개의 점프 오브로 엔딩에 도달하기,使用10個以下跳跳球破關,Atteignez la fin avec jusqu'à 10 orbes de saut,Erreiche das Ziel mit bis zu 10 Sprungkugeln,Llega hasta el final con 10 orbes de salto como máximo,Llega al final con hasta 10 orbes de salto,Chegue ao final com até 10 orbes de pulo,Raggiungi il finale con un massimo di 10 Sfere salto,En fazla 10 zıplama küresi ile sona ulaş,بلوغ النهاية مع امتلاك ما يصل إلى 10 من كرات القفز,ไป​ถึง​ตอน​จบ​โดย​ใช้​ลูก​แก้ว​กระโดด​ไม่​เกิน 10 ลูก,Nå slutet med högst 10 hoppklot,"Ukończ grę, mając do 10 kul skoku",64,64,64,64,64,64,64,64,64,64,64,32,32,32,
trophy clear by 8,requirement for unlocking this trophy,64,32,Reach the ending with up to 8 jump orbs,ジャンプ玉8個以内でエンディングに到達する,최대 8개의 점프 오브로 엔딩에 도달하기,使用8個以下跳跳球破關,Atteignez la fin avec jusqu'à 8 orbes de saut,Erreiche das Ziel mit bis zu 8 Sprungkugeln,Llega hasta el final con 8 orbes de salto como máximo,Llega al final con hasta 8 orbes de salto,Chegue ao final com até 8 orbes de pulo,Raggiungi il finale con un massimo di 8 Sfere salto,En fazla 8 zıplama küresi ile sona ulaş,بلوغ النهاية مع امتلاك ما يصل إلى 8 من كرات القفز,ไป​ถึง​ตอน​จบ​โดย​ใช้​ลูก​แก้ว​กระโดด​ไม่​เกิน 8 ลูก,Nå slutet med högst 8 hoppklot,"Ukończ grę, mając do 8 kul skoku",64,64,64,64,64,64,64,64,64,64,64,32,32,32,
trophy clear by 6,requirement for unlocking this trophy,64,32,Reach the ending with up to 6 jump orbs,ジャンプ玉6個以内でエンディングに到達する,최대 6개의 점프 오브로 엔딩에 도달하기,使用6個以下跳跳球破關,Atteignez la fin avec jusqu'à 6 orbes de saut,Erreiche das Ziel mit bis zu 6 Sprungkugeln,Llega hasta el final con 6 orbes de salto como máximo,Llega al final con hasta 6 orbes de salto,Chegue ao final com até 6 orbes de pulo,Raggiungi il finale con un massimo di 6 Sfere salto,En fazla 6 zıplama küresi ile sona ulaş,بلوغ النهاية مع امتلاك ما يصل إلى 6 من كرات القفز,ไป​ถึง​ตอน​จบ​โดย​ใช้​ลูก​แก้ว​กระโดด​ไม่​เกิน 6 ลูก,Nå slutet med högst 6 hoppklot,"Ukończ grę, mając do 6 kul skoku",64,64,64,64,64,64,64,64,64,64,64,32,32,32,
trophy clear by 4,requirement for unlocking this trophy,64,32,Reach the ending with up to 4 jump orbs,ジャンプ玉4個以内でエンディングに到達する,최대 4개의 점프 오브로 엔딩에 도달하기,使用4個以下跳跳球破關,Atteignez la fin avec jusqu'à 4 orbes de saut,Erreiche das Ziel mit bis zu 4 Sprungkugeln,Llega hasta el final con 4 orbes de salto como máximo,Llega al final con hasta 4 orbes de salto,Chegue ao final com até 4 orbes de pulo,Raggiungi il finale con un massimo di 4 Sfere salto,En fazla 4 zıplama küresi ile sona ulaş,بلوغ النهاية مع امتلاك ما يصل إلى 4 من كرات القفز,ไป​ถึง​ตอน​จบ​โดย​ใช้​ลูก​แก้ว​กระโดด​ไม่​เกิน 4 ลูก,Nå slutet med högst 4 hoppklot,"Ukończ grę, mając do 4 kul skoku",64,64,64,64,64,64,64,64,64,64,64,32,32,32,
trophy endless score 10,requirement for unlocking this trophy,64,32,Score over %1% in endless mode with 10 jump orbs,エンドレスモード:\nジャンプ玉10個で%1%点以上獲得する,무한 모드에서 10개의 점프 오브로 %1%점 이상 점수 내기,使用10個跳跳球在無盡模式獲得超過%1%分,Marquez plus de %1% en mode infini avec 10 orbes de saut,Erreiche im Endlosmodus über %1% Punkte mit 10 Sprungkugeln,Consigue más de %1% puntos en el modo Interminable con 10 orbes de salto,Obtén más de %1% puntos en modo Interminable con 10 orbes de salto,Pontue mais de %1% no modo infinito com 10 orbes de pulo,Totalizza più di %1% in Modalità infinita con 10 Sfere salto,Sonsuz modda 10 zıplama küresi ile en az %1% puan al,تسجيل %1% أو أكثر في الوضع اللانهائي مع امتلاك 10 من كرات القفز,ทำ​คะแนน​ใน​โหมด​ไร้​จุดจบ​ได้​มากกว่า %1% โดย​ใช้​ลูก​แก้ว​กระโดด 10 ลูก,Få minst %1% poäng i oändliga läget med 10 hoppklot,Uzyskaj wynik ponad %1% punktów w trybie nieskończonym z 10 kulami skoku,64,64,64,64,64,64,64,64,64,64,64,32,32,32,
trophy endless score 8,requirement for unlocking this trophy,64,32,Score over %1% in endless mode with 8 jump orbs,エンドレスモード:\nジャンプ玉8個で%1%点以上獲得する,무한 모드에서 8개의 점프 오브로 %1%점 이상 점수 내기,使用8個跳跳球在無盡模式獲得超過%1%分,Marquez plus de %1% en mode infini avec 8 orbes de saut,Erreiche im Endlosmodus über %1% Punkte mit 8 Sprungkugeln,Consigue más de %1% puntos en el modo Interminable con 8 orbes de salto,Obtén más de %1% puntos en modo Interminable con 8 orbes de salto,Pontue mais de %1% no modo infinito com 8 orbes de pulo,Totalizza più di %1% in Modalità infinita con 8 Sfere salto,Sonsuz modda 8 zıplama küresi ile en az %1% puan al,تسجيل %1% أو أكثر في الوضع اللانهائي مع امتلاك 8 من كرات القفز,ทำ​คะแนน​ใน​โหมด​ไร้​จุดจบ​ได้​มากกว่า %1% โดย​ใช้​ลูก​แก้ว​กระโดด 8 ลูก,Få minst %1% poäng i oändliga läget med 8 hoppklot,Uzyskaj wynik ponad %1% punktów w trybie nieskończonym z 8 kulami skoku,64,64,64,64,64,64,64,64,64,64,64,32,32,32,
trophy endless score 6,requirement for unlocking this trophy,64,32,Score over %1% in endless mode with 6 jump orbs,エンドレスモード:\nジャンプ玉6個で%1%点以上獲得する,무한 모드에서 6개의 점프 오브로 %1%점 이상 점수 내기,使用6個跳跳球在無盡模式獲得超過%1%分,Marquez plus de %1% en mode infini avec 6 orbes de saut,Erreiche im Endlosmodus über %1% Punkte mit 6 Sprungkugeln,Consigue más de %1% puntos en el modo Interminable con 6 orbes de salto,Obtén más de %1% puntos en modo Interminable con 6 orbes de salto,Pontue mais de %1% no modo infinito com 6 orbes de pulo,Totalizza più di %1% in Modalità infinita con 6 Sfere salto,Sonsuz modda 6 zıplama küresi ile en az %1% puan al,تسجيل %1% أو أكثر في الوضع اللانهائي مع امتلاك 6 من كرات القفز,ทำ​คะแนน​ใน​โหมด​ไร้​จุดจบ​ได้​มากกว่า %1% โดย​ใช้​ลูก​แก้ว​กระโดด 6 ลูก,Få minst %1% poäng i oändliga läget med 6 hoppklot,Uzyskaj wynik ponad %1% punktów w trybie nieskończonym z 6 kulami skoku,64,64,64,64,64,64,64,64,64,64,64,32,32,32,
trophy endless score 4,requirement for unlocking this trophy,64,32,Score over %1% in endless mode with 4 jump orbs,エンドレスモード:\nジャンプ玉4個で%1%点以上獲得する,무한 모드에서 4개의 점프 오브로 %1%점 이상 점수 내기,使用4個跳跳球在無盡模式獲得超過%1%分,Marquez plus de %1% en mode infini avec 4 orbes de saut,Erreiche im Endlosmodus über %1% Punkte mit 4 Sprungkugeln,Consigue más de %1% puntos en el modo Interminable con 4 orbes de salto,Obtén más de %1% puntos en modo Interminable con 4 orbes de salto,Pontue mais de %1% no modo infinito com 4 orbes de pulo,Totalizza più di %1% in Modalità infinita con 4 Sfere salto,Sonsuz modda 4 zıplama küresi ile en az %1% puan al,تسجيل %1% أو أكثر في الوضع اللانهائي مع امتلاك 4 من كرات القفز,ทำ​คะแนน​ใน​โหมด​ไร้​จุดจบ​ได้​มากกว่า %1% โดย​ใช้​ลูก​แก้ว​กระโดด 4 ลูก,Få minst %1% poäng i oändliga läget med 4 hoppklot,Uzyskaj wynik ponad %1% punktów w trybie nieskończonym z 4 kulami skoku,64,64,64,64,64,64,64,64,64,64,64,32,32,32,
trophy endless score 2,requirement for unlocking this trophy,64,32,Score over %1% in endless mode with 2 jump orbs,エンドレスモード:\nジャンプ玉2個で%1%点以上獲得する,무한 모드에서 2개의 점프 오브로 %1%점 이상 점수 내기,使用2個跳跳球在無盡模式獲得超過%1%分,Marquez plus de %1% en mode infini avec 2 orbes de saut,Erreiche im Endlosmodus über %1% Punkte mit 2 Sprungkugeln,Consigue más de %1% puntos en el modo Interminable con 2 orbes de salto,Obtén más de %1% puntos en modo Interminable con 2 orbes de salto,Pontue mais de %1% no modo infinito com 2 orbes de pulo,Totalizza più di %1% in Modalità infinita con 2 Sfere salto,Sonsuz modda 2 zıplama küresi ile en az %1% puan al,تسجيل %1% أو أكثر في الوضع اللانهائي مع امتلاك 2 من كرات القفز,ทำ​คะแนน​ใน​โหมด​ไร้​จุดจบ​ได้​มากกว่า %1% โดย​ใช้​ลูก​แก้ว​กระโดด 2 ลูก,Få minst %1% poäng i oändliga läget med 2 hoppklot,Uzyskaj wynik ponad %1% punktów w trybie nieskończonym z 2 kulami skoku,64,64,64,64,64,64,64,64,64,64,64,32,32,32,
trophy endless average,requirement for unlocking this trophy,64,32,Get an average score higher than %1% in endless mode with %2% jump orbs,エンドレスモード:\nジャンプ玉%2%個でスコア平均\n%1%点以上獲得する,무한 모드에서 %2%개의 점프 오브로 %1%점 이상의 평균 점수 내기,使用%2%個跳跳球在無盡模式獲得高於%1%的平均得分,Obtenez une moyenne supérieure à %1% en mode infini avec %2% orbes de saut,Erreiche im Endlosmodus mit %2% Sprungkugeln einen durchschn. Punktestand über %1%,Consigue un promedio de más de %1% puntos en el modo Interminable con %2% orbes de salto,Obtén un promedio mayor a %1% en modo Interminable con %2% orbes de salto,Tenha uma média maior que %1% no modo infinito com %2% orbes de pulo,Ottieni un punt. medio > %1% in Mod. infinita con %2% Sfere salto,Sonsuz modda %2% zıplama küresi ile en az %1% ortalama puan al,تسجيل متوسط %1% أو أكثر في الوضع اللانهائي مع امتلاك %2% من كرات القفز,ทำ​คะแนน​เฉลี่ย​ใน​โหมด​ไร้​จุดจบ​ได้​มากกว่า %1% โดย​ใช้​ลูก​แก้ว​กระโดด %2% ลูก,Få minst %1% i snittpoäng i oändliga läget med %2% hoppklot,Uzyskaj średni wynik wyższy niż %1% punktów w trybie nieskończonym z %2% kulami skoku,64,64,64,64,64,64,64,64,64,64,64,32,32,32,
trophy puzzle all clear,requirement for unlocking this trophy,64,32,Clear all puzzle levels,パズルをすべてクリアする,모든 퍼즐 레벨 통과하기,完成所有挑戰關卡,Terminez tous les niveaux de puzzles,Löse alle Puzzle-Level,Supera todos los niveles del puzle,Supera todos los niveles del modo recreo,Conclua todos os níveis do puzzle,Completa tutti i livelli con puzzle,Tüm bulmaca seviyelerini tamamla,إكمال كل مستويات الألغاز,เคลียร์​เลเวล​ปริศนา,Klara alla pusselbanor,Ukończ wszystkie łamigłówki,64,64,64,64,64,64,64,64,64,64,64,32,32,32,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
